,鄉鎮市區代碼,含車位_各建物型態整體中位數房價,不含車位_各建物型態整體中位數房價
0,65000010,16800000.0,9800000.0
1,65000020,16250000.0,9600000.0
2,65000030,16500000.0,10200000.0
3,65000040,18310000.0,11255000.0
4,65000050,13580000.0,10000000.0
5,65000060,16450000.0,10750000.0
6,65000070,12100000.0,7980000.0
7,65000080,7900000.0,6150000.0
8,65000090,11500000.0,7000000.0
9,65000100,9450000.0,6350000.0
10,65000110,11325000.0,8730000.0
11,65000120,5200000.0,2300000.0
12,65000130,14000000.0,9685000.0
13,65000140,15000000.0,10000000.0
14,65000150,9700000.0,8750000.0
15,65000160,10790000.0,8200000.0
16,65000170,12600000.0,10815000.0
17,65000180,13100000.0,7840000.0
18,65000190,7150000.0,5500000.0
19,65000200,3473666.6,1552000.0
20,65000210,3880000.0,1600000.0
21,65000220,3473666.6,2400000.0
22,65000230,7550000.0,5800000.0
23,65000240,3473666.6,4300000.0
24,65000250,3473666.6,3380000.0
25,65000260,1200000.0,2180000.0
26,65000270,5130000.0,3850000.0
27,65000280,1958333.0,1500000.0
28,65000290,3473666.6,180000.0
29,63000010,29650000.0,19080000.0
30,63000020,32940000.0,16000000.0
31,63000030,45800000.0,22120000.0
32,63000040,26555000.0,13640000.0
33,63000050,32980000.0,18600000.0
34,63000060,24695000.0,12870000.0
35,63000070,25600000.0,9500000.0
36,63000080,21000000.0,12500000.0
37,63000090,27780000.0,14959000.0
38,63000100,25000000.0,16000000.0
39,63000110,26650000.0,15800000.0
40,63000120,20975000.0,12600000.0
