SiteName,TWD97Lon,TWD97Lat
三重,121.49380600000,25.07261100000
土城,121.45186100000,24.98252800000
士林,121.51538900000,25.10541700000
大同,121.51331100000,25.06320000000
大園,121.20181100000,25.06034400000
中山,121.52652800000,25.06236100000
中壢,121.22166700000,24.95327800000
古亭,121.52955600000,25.02060800000
平鎮,121.20398600000,24.95278600000
永和,121.51630600000,25.01700000000
汐止,121.64230000000,25.06713100000
松山,121.57861100000,25.05000000000
板橋,121.45866700000,25.01297200000
林口,121.37686900000,25.07719700000
桃園,121.31996400000,24.99478900000
基隆,121.76005600000,25.12916700000
淡水,121.44923900000,25.16450000000
菜寮,121.48102800000,25.06895000000
陽明,121.52958300000,25.18272200000
新店,121.53777800000,24.97722200000
新莊,121.43250000000,25.03797200000
萬里,121.68988100000,25.17966700000
萬華,121.50797200000,25.04650300000
龍潭,121.21635000000,24.86386900000
觀音,121.08276100000,25.03550300000
富貴角,121.53797500000,25.29743600000
